Valik Palica Oleksandrovich
Мотовилець Юлій Янович
Усеінов Яромир Антонович
Рекеда Аліна Нісонівна
Гринишин Матвей Адріанович
Базиленко Арнольд Олексійович
Тхір Соломія Самуїлівна
Курячий Мирон Макарович
Оліфір Елеонора Корниліївна
Бурмас Рафаїл Кондратович
Миколюк Фелікс Павлович
Вересюк Севастіан Назарович
Гришкевич Гурій Леонтійович
Ревко Богдан Веніамінович
Ганущак Кондрат Архипович
Мартіросян Фаїна Вікентіївна
Севериненко Інокентій Трохимович
Аблаєв Віллі Володимирович
Марковський Григорій Іванович
Сухацький Юрій Альфредович
Дзюбак Альфред Яромирович
Хрипун Арнольд Миронович
Куликов Аніта Юліанівна
Мамон Руслана Іванівна
Барановський Герасим Аврамович
Яцентюк Валерія Гуріївна
Хілінський Тихон Антонович
Сизько Валерій Ярославович
Сотниченко Валерій Опанасович
Новіков Матвей Савелійович
Баламут Андрій Вітольдович
Варенко Еріка Семенівна
Дейко Омелян Юлійович
Христиченко Святослав Тарасович
Критюк Болеслав Орестович
Гурина Марина Романівна
Чичкан Юстина Гавриїлівна
Задоя Ганна Ісаківна
Бачурін Харіта Богданівна
Будніченко Раїса Матвеївна
Сабадир Савелій Віталійович
Лукненко Ядвіга Герасимівна
Сопко Ангеліна Йосипівна
Голікова Майя Клементівна
Бех Ванда Захарівна
Серединський Єгор Клементович
Капацин Тарас Тихонович
Коршук Віссаріон Людвігович
Докієнко Мстислав Альбертович
Гинда Юнона Юліївна
Рижков Ясон Вальтерович
Брунько Нісон Памфілович
Силенок Веста Ельдарівна
Приз Осип Зіновійович
Галюк Леся Кирилоівна
Шульжук Фелікс Ісакович
Запухляк Олена Павлівна
Кішка Жанна Наумівна
Туровець Леонтій Любомирович
Дворниченко Бенедикт Севастіанович
Татарко Денис Ельдарович
Панфілова Зінаїда Тарасівна
Зик Трохим Кирилоович
Довжук Гурій Арсенійович
Пачев Ярема Галактіонович
Мотузенко Омелян Артемійович
Гутник Вероніка Савеліївна
Буран Йосип Мстиславович
Баранівський Модест Арсенійович
Коренєва Діна Ростиславівна
Фурсик Леонард Гавриїлович
Костинюк Яна Інокентіївна
Тімошенко Тихон Валерійович
Витрикуш Юлій Леонідович
Наумчук Велор Давидович
Петрущенко Альфред Дмитрович
Битько Ніна Анатоліївна
Зеленюк Наум В'ячеславович
Казидуб Дональд Климович
Запоточний Богдан Рафаїлович
Пуляєв Оксана Герасимівна
Борзенко Данило Богданович
Янковський Ігнатій Адамович
Янок Фаїна Васильівна
Лазарев Клара Тімурівна
Бабчук Клим Самсонович
Золотоверх Назар Володимирович
Прокопова Беатріса Глібівна
Желязков Олена Йосипівна
Негря Валерій Ігорович
Коц Галактіон Прокофійович
Білан Віссаріон Рубенович
Володін Поліна Захарівна
Хараїм Юстина Борисівна
Ніколенко Никанор Артемійович
Дяченко Архип Савелійович
Федянович Карина Людвігівна
Лукненко Модест Тарасович
Котович Тарас Павлович
Ковш Адольф Ярославович
Батіщева Агнія Броніславівна
Лінчук Прокофій Яремович
Божков Ніка Іларіонівна
Лобан Марія Робертівна
Капінос Дональд Модестович
Бідяк Герман Яремович
Біляк Іраїда Олесьівна
Голбан Владислав Олегович
Паламаренко Рубен Анатолійович
Галан Роксолана Леонардівна
Демяник Максиміліан Вілліович
Дунаєвський Аристарх Терентьєвович
Мазепа Зоя Гавриїлівна
Будай Андрій Юліанович
Карабінович Андрій Артемович
Водяник Ясен Леонідович
Шестопал Іларіон Адольфович
Топал Велор Самсонович
Кожухова Тетяна Інокентіївна
Война Ксенія Валентинівна
Богачук Матвей Людвігович
Джемілов Мартін Прокофійович
Якоб Глафіра Осипівна
Маслак Семен Мартінович
Романченко Рубен Велорович
Навроцька Альбіна Тимофіївна
Новосад Ян Парамонович
Райчинець Зіновій Іванович
Чучко Іраклій Кондратович
Зарівняк Самсон Володимирович
Француз Тімур Артемович
Драгой Аристарх Тарасович
Бундюк Ядвіга Порфиріївна
Підприємець Наталя Тімурівна
Коцило Самсон Вадимович
Місько Тереза Русланівна
Малеш Жанна Борисівна
Бублій Микита Донатович
Ревун Альфред Леонардович
Лугина Нонна Оскарівна
Прохорчук Олексій Федірович
Скринник Клемент Романович
Чайко Глорія Адольфівна
Лісконог Віталіна Матвеївна
Коренєв Платон Мирославович
Мединська Неллі Аврамівна
Парубок Модест Климович
Слєпченко Валерій Іларіонович
Мунтян Владислав Юліанович
Матросов Едуард Олесьович
Лашина Стела Велорівна
Прядун Ніка Дональдівна
Костенко Аза В'ячеславівна
Галущенко Кондрат Броніславович
Березняк Мирослав Велорович
Миценко Ярослав Дмитрович
Кіцак Сергій Зіновійович
Аністратенко Федір Олександрович
Кибукевич Дональд Артурович
Коробков Василіса Андріївна
Крицька Жанна Левівна
Морозовський Олександр Гордейович
Яновський Артур Велорович
Рощин Яків Тарасович
Машовець Ян Гордейович
Члек Павло Юліанович
Федорук Ніка Микитівна
Руднєв Оскар Дональдович
Процко Богдан Мстиславович
Скіцько Парамон Геннадійович
Клопот Віктор Терентьєвович
Фурсова Ірина Денисівна
Берко Доміника Самсонівна
Касіч Ісак Юхимович
Базилюк Карл Едуардович
Заєц Антон Григорійович
Ануфрієв Іларіон Кирилоович
Щепак Віталіна Аркадіївна
Качуровський Ян Макарович
Шкапа Світлана Віссаріонівна
Коток Сусанна Анатоліївна
Гордаш Артем Адамович
Міляр Інеса Климівна
Гайдаш Ія Сергіївна
Абдураімов Святослава Адамівна
Юзвяк Ада Галактіонівна
Водопянова Анфіса Йосипівна
Шмигун Зіновій Мойсейович
Нор Клавдія Велорівна
Липовська Астра Давидівна
Кармазь Костянтин Рубенович
Могильний Никанор Вальтерович
Півторак Ясен Віссаріонович
Місяйло Роксолана Леонтіївна
Михальчишин Поліна Віссаріонівна
Мислик Глафіра Іларіонівна
Побережнюк Нісон Гавриїлович
Федяй Владислав Овідійович
Буданов Француаза Тихонівна
Дудак Дональд Назарович
Клепач Дональд Корнилійович
Колеснікова Елла Самсонівна
Васіна Регіна Осипівна
Міськов Гавриїл Ярославович
Сакало Лазар Мойсейович
Виливок Натан Броніславович
Рябцева Аліна Митрофанівна
Вітряк Парамон Вольдемарович
Черватюк Клавдія Федірівна
Букреєв Любов Васильівна
Чудовський В'ячеслав Костянтинович
Конєв Микита Карлович
Стринадко Андрій Тарасович
Богачов Елла Віталіївна
Радченко Ростислав Гурійович
Кудряшов Руслана Адріанівна
Щербань Гордей Романович
Болог Тімур Рудольфович
Педоренко Аніта Никанорівна
Оцабрик Валентин Ісакович
Лимар Тарас Германович
Аніканова Стела Памфілівна
Овсяніков Олесь Євгенійович
Рудковський Пилип Мартінович
Пекар Адольф Вітольдович
Корбан Іраклій Клементович
Качор Болеслав Федотович
Репешко Діана Вадимівна
Старікова Інна Кузьмівна
Ачкасов Агнеса Тимофіївна
Штефанюк Інокентій Владиславович
Семанишин Савелій Ельдарович
Перегінець Лайма Борисівна
Конопельнюк Ганна Мирославівна
Слюсарь Прокофій Платонович
Варенко Віктор Вікторович
Мозоль Ян Гаріович
Костур Інокентій Артемійович
Мица Іветта Адамівна
Адамська Роксолана Гордеївна
Острий Леонард Родіонович
Варивода Данута Вікентіївна
Вайнагій Тімур Геннадійович
Ярощук Кіра Вольдемарівна
Гарбаренко Катерина Йосипівна
Самойлов Памфіл Максимович
Рудюк Ядвіга Анатоліївна
Сад Віталій Трохимович
Баняс Єгор Олегович
Стефанович Любомир Самуїлович
Гербей Захар Олесьович
Якубович Тімур Вілліович
Курочкіна Руфіна Любомирівна
Кучменко Клим Лазарович
Бірчак Нонна Феліксівна
Білюк Еріка Георгіївна
Яртим Гордей Петрович
Когуч Велор Никанорович
Пшеничний Петро Андрійович
Шандор Валентин Романович
Наум Руслан Овідійович
Слєпченко Ясон Тимофійович
Шмарко Парамон Максимович
Віштак Ісак Артурович
Аблязізова Сусанна Валеріївна
Андронатій Натан Яромирович
Вагін Таїсія Євдокимівна
Бурячок Віктор Памфілович
Голубов Мартін Орестович
Цідило Мечислав Нісонович
Максимов Назар Ясенович
Гушуляк Наум Терентьєвович
Карпець Ярослав Глібович
Гудзь Сесілія Германівна
Рибкін Назар Вадимович
Кушпіль Агнеса Олесьівна
Бубало Наталя Григоріївна
Шах Інга Олесьівна
Сливяк Тереза Осипівна
Юхимець Павло Бенедиктович
Сліпчук Надія Ростиславівна
Горєлова Ніна Мирославівна
Смоленський Богдан Нісонович
Личман Анжела Тарасівна
Пелешко Юліан Ясонович
Воробій Матвей Мартінович
Юрик Француаза Людвігівна
Драний Федір Анатолійович
Подзігун Зіновій Терентьєвович
Білинська Алла Адольфівна
Снісар Дмитро Денисович
Кордупель Марія Робертівна
Крячко Олексій Робертович
Левків Жанна Петрівна
Загоровська Єва Клементівна
Воробей Галактіон Едуардович
Книга Жанна Святославівна
Гладкий Мартін Оскарович
Мінасян Севастіан Микитович
Варич Леонард Вальтерович
Кудрик Павло Мстиславович
Кійко Фома Арсенійович
Силюк Михайло Мойсейович
Куземко Донат Осипович
Постольник Леонард Осипович
Трубчанінова Майя Федотівна
Шатило Фелікс Савелійович
Гук Алла Віссаріонівна
Бурнос Денис Мойсейович
Ратушняк Олесь Дмитрович
Лисяк Карл Юліанович
Кузьмінчук Ніка В'ячеславівна
Гнатченко Валентин Анатолійович
Самойленко Федот Аристархович
Кудренко Руслан Валерійович
Овчинникова Марта Макарівна
Краснобаєва Римма Зіновіївна
Сєріков Аліна Петрівна
Дзигар Аврора Євгеніївна
Балинець Митрофан Костянтинович
Лебедюк Олег Тарасович
Кобиляцька Француаза Макарівна
Лада Леся Романівна
Чукань Платон Севастіанович
Бугаєнко Людмила Севастіанівна
Українець Бенедикт Герасимович
Кучеренко Мартін Йосипович
Бежнар Ельвіра Євгеніївна
Гулич Павло Максиміліанович
Бочуля Віталій Ясонович
Луценко Владислав Фаддейович
Фоміна Генрієта Леонідівна
Острик Алевтина Мартінівна
Крупченко Муза Парамонівна
Катриченко Марк Святославович
Тригуба Венера Леонідівна
Бойчун Анатолій Борисович
Крекотень Прохор Олексійович
Дюльгер Альберт Тихонович
Прищенко Анастасія Оскарівна
Бродюк Михайлина Памфілівна
Малих Ангеліна Трохимівна
Тюрменко Ярема Овідійович
Околович Олеся Альбертівна
Попадинець Віталіна Віталіївна
Паращенко Герман Трохимович
Бринь Михайлина Святославівна
Боденчук Прокофій Рубенович
Дей Осип Миколович
Шибко Тихон Янович
Кузьмін Поліна Прокофіївна
Постнікова Регіна Данилоівна
Чудо Гліб Севастіанович
Малимон Прокофій Дональдович
Пташинська Альбіна Едуардівна
Антошків Арнольд Владиславович
Пилипяк Оскар Аврамович
Колосок Платон Едуардович
Худякова Єва Леонтіївна
Кордупель Олесь Самсонович
Стадник Інеса Глібівна
Фірман Веніамін Віссаріонович
Дяденко Уляна Ігнатіївна
Поночовний Архип Олегович
Маргітич Велор Галактіонович
Швецов Інга Едуардівна
Британ Іларіон Ігорович
Бошко Іван Майович
Сеник Христина Пилипівна
Довгодько Варвара Левівна
Драговоз Ельдар Рубенович
Сулейманов Осип Сергійович
Домброван Клемент Родіонович
Білозуб Артем Прохорович
Лоб Роберт Русланович
Матійко Фома Альфредович
Кириєнко Аліса Олександрівна
Бєлоусов Мирон Аристархович
Дарій Наум Вікторович
Фірман Олесь Юлійович
Нікул Платон Галактіонович
Стецюк Тихон Михайлоович
Петриченко Рубен Родіонович
Лобок Ія Артемівна
Бубен Мірдза Борисівна
Чучман Гелла Євдокимівна
Кобилецький Орест Климович
Попіль Наум Карлович
Печенюк Герасим Аристархович
Парандій Тимофій Ігорович
Тягнирядно Святослав Олександрович
Фалюш Терентьєв Федотович
Місько Одарка Юліанівна
Волох Лілія Кузьмівна
Кіяшко Кирило Карлович
Вітвіцька Тереза Максимівна
Зваричук Аріна Віссаріонівна
Лех Арнольд Володимирович
Часовенко Іветта Мартінівна
Скриник Осип Родіонович
Шекера Ірина Мстиславівна
Ромашова Любов Парамонівна
Гладишко Ія Вілліівна
Рудой Герман Андрійович
Шокодько Іларіон Олесьович
Перебейнос Федір Борисович
Солянік Артемій Ілліч
Сабо Парасковія Ігорівна
Буздуган Борис Пилипович
Шульзі Ніла Памфілівна
Ходирєва Роксолана Миронівна
Хачатрян Юстина В'ячеславівна
Чепуренко Сесілія Анатоліївна
Бонюк Надія Тихонівна
Манчул Петро Олесьович
Петренчук Макар Памфілович
Мудрак Віктор Валентинович
Бабенко Натан Єгорович
Смертенюк Давид Архипович
Голяков Юлій Артемійович
Сидорук Оксана Адріанівна
Солонинко Василіса Аврамівна
Микитюк Філіппіна Арсеніївна
Баришполець Гарі Тихонович
Бубела Роксана Юліївна
Кирилов Нісон Альфредович
Пушко Юліан Віталійович
Котій Тихон Тимофійович
Кирпач Альфред Рафаїлович
Жарков Василь Арсенійович
Курбанов Артем Лазарович
Вирвихвост Ігор Арнольдович
Благодир Арсеній Зіновійович
Зарічний Порфирій Ясонович
Суп Корнилій Борисович
Заставна Анастасія Климівна
Саврій Корнилій Дмитрович
Гулієв Віллі Назарович
Халецький Альфред Аврамович
Полюшкевич Родіон Гордейович
Гаврик Євдокія Кузьмівна
Мещерякова Яна Федірівна
Гузь Альфред Владиславович
Погуляй Петро Маркович
Головата Лідія Терентьєвівна
Дем`яненко Таїсія Олегівна
Тишкевич Богдана Гавриїлівна
Черевач Вольдемар Мартінович
Веретюк Михайло Кузьмович
Зайчук Гліб Андрійович
Данич Ірина Тимофіївна
Беркало Гарі Ясенович
Довгенко Кирило Глібович
Вихованець Павло Геннадійович
Наумчик Артем Богданович
Губченко Леонтій Йосипович
Сивенко Семен Віталійович
Головня Інна Федірівна
Звонарьова Раїса Матвеївна
Мидлик Богдан В'ячеславович
Горун Андрій Сергійович
Мурована Оксана Маївна
Кісільов Роман Маркович
Фалько Діана Самсонівна
Гриб Беатріса Гуріївна
Сливка Стела Іларіонівна
Зінькова Агнеса Юліанівна
Свиридюк Савелій Федотович
Мазорук Вікторія Корниліївна
Лебєдєва Ганна Савеліївна
Кузьміч Любомир Родіонович
Буньо Аріадна Марківна
Козеренко Никанор Рубенович
Кучмай Іларіон Натанович
Гудан Юліан Оскарович
Рогозіна Ліана Самуїлівна
Кузьма Харіта Родіонівна
Бортнічук Родіон Герасимович
Делік Леся Арсеніївна
Крупенко Любов Степанівна
Коренко Ілля Германович
Гринець Єгор Артемійович
Урбанович Федот Георгійович
Сальников Ганна Іларіонівна
Ковбар Валерій Порфирійович
Мацейко Вадим Дональдович
Мурин Борислава Альбертівна
Флора Римма Броніславівна
Тимощенко Мирон Пилипович
Темненко Галактіон Ельдарович
Рукас Марина Ростиславівна
Гарбузенко Павло Прокофійович
Станков Артур Рафаїлович
Оніщук Савелій Анатолійович
Баєв Микита Ігорович
Правдивий Прокофій Вікторович
Карпухіна Тетяна Олексіївна
Шеремет Омелян Антонович
Тарасов Євгенія Леонардівна
Підмогильний Родіон Парамонович
Тягнирядно Гліб Олександрович
Шпонька Одарка Гуріївна
Богаш Корнилій Артемович
Овчінніков В'ячеслав Степанович
Курілов Тетяна Павлівна
Фенюк Надія Лазарівна
Рябініна Соломія Никанорівна
Ліщина Глорія Климівна
Гулевський Мстислав Гурійович
Сипченко Порфирій Бенедиктович
Золота Ада Анатоліївна
Брисюк Лідія Матвеївна
Прудіус Емма Памфілівна
Босик Йосип Артемович
Трушко Надія Феліксівна
Науменко Аврам Геннадійович
Горпенюк Гавриїл Тихонович
Касюк Іван Тарасович
Кучай Велор Мирославович
Неділько Соломія Гаріівна
Шаюк Людвіг Миронович
Шашков Максиміліан Глібович
Куриця Галактіон Вітольдович
Клос Євгеній Вольдемарович
Жовтун Ілля Глібович
Губан Артем Кирилоович
Гушан Йосип Леонідович
Плаксій Михайло Мечиславович
Верескун Ванда Ігорівна
Кротова Данута Макарівна
Сопун Віллі Мартінович
Богомолова Зоя Гавриїлівна
Дроняк Вероніка Кузьмівна
Самарець Ія Орестівна
Черничко Осип Натанович
Афанасенко Денис Нісонович
Усик Клим Веніамінович
Моцний Григорій Лазарович
Перевознюк Леонід Мирославович
Крижко Леонтій Вікентійович
Загоруй Фелікс Богданович
Гуляй Станіслав Кирилоович
Зачепило Нісон Нісонович
Квятковський Олексій Максиміліанович
Симонович Валентин Юхимович
Доброван Устінья Адольфівна
Джеппарова Борислава Фомівна
Алексєєв Белла Наумівна
Дченко Памфіл Майович
Рибачук Марта Орестівна
Зубчук Натан Самуїлович
Димченко Святослава Андріївна
Хаджиогло Лазар Маркович
Овчаров Діана Адамівна
Тритяк Веста Станіславівна
Щербині Михайлина Максиміліанівна
Лукаш Олесь Михайлоович
Сусол Мечислав Арсенійович
Рига Діана Костянтинівна
Рикун Альбіна Миколівна
Тодорова Євдокія Семенівна
Якимюк Матвей Максиміліанович
Кісіленко Карл Рафаїлович
Репешко Клемент Ясонович
Коник Данило Архипович
Санін Вольдемар Вітольдович
Драпак Віктор Рафаїлович
Кривун Петро Федірович
Прокуда Рената Вікентіївна
Матросов Кузьма В'ячеславович
Джалілов Ростислав Вітольдович
Хіжняк Давид Наумович
Градінар Юнона Борисівна
Торгонський Велор Альбертович
Марян Руслана Миронівна
Колодько Леонард Георгійович
Андрусів Кондрат Вадимович
Вишняков Мірра Донатівна
Гайдаржи Гелла Аркадіївна
Лиска Таїсія Мирославівна
Вівчаренко Алевтина Давидівна
Опацький Дмитро Іванович
Одородько Мартін Олесьович
Пшенишний Броніслав Клементович
Ращупкіна Раїса Модестівна
Клопот Борис Людвігович
Бишенко Лідія Павлівна
Зюбан Аврам Тимофійович
Демидас Роберт Кондратович
Шмиголь Роман Артемійович
Бовкун Кондрат Денисович
Зиско Самсон Леонардович
Бублей Прохор Галактіонович
Калениченко Олександр Ілліч
Бриченко Омелян Давидович
Купріян Олексій Рафаїлович
Христич Олександр Юхимович
Фалько Ніна Олексіївна
Боюк Антон Порфирійович
Пивоваров Рената Болеславівна
Лазарев Бенедикт Аристархович
Довбуш Архип Романович
Друзюк Пелагея Лук'янівна
Курочкіна Діана Єгорівна
Місяйло Наталя Арсеніївна
Гавриленко Мірра Матвеївна
Карайван Людвіг Адольфович
Демків Давид Аврамович
Нікольський Федот Арнольдович
Чухрай Денис Глібович
Паламарюк Нісон Олександрович
Конченко Олесь Альбертович
Лисун Кіра Клементівна
Васильцова Єва Любомирівна
Мазяр Вітольд Любомирович
Осіпчук Аврам Іванович
Кирпань Адольф Володимирович
Андрос Діна Давидівна
Бадюк Анжела Марківна
Берегова Юстина Дмитроівна
Колодуб Артур Людвігович
Стринадко Дарина Олександрівна
Артим Таїсія Артурівна
Голюк Нісон Гурійович
Ювченко Самуїл Олександрович
Непотенко Євгеній Велорович
Кордас Глафіра Германівна
Тетерук Галактіон Вікентійович
Бондарець Уляна Русланівна
Остафійчук Карл Денисович
Закутня Вітольд Мартінович
Гац Данута Никанорівна
Гуренко Олег Парамонович
Жовтоног Емма Аврамівна
Грищук Іраклій Зіновійович
Молоков Сергій Миколович
Косяк Пилип Клементович
Вірста Зінаїда Ельдарівна
Стельникович Зіновій Юхимович
Рященко Арсеній Сергійович
Никоненко Любомир Дмитрович
Шимчук Клара Маївна
Гуркало Лайма Парамонівна
Никипорець Ядвіга Вікторівна
Кімак Сніжана Леонідівна
Шемета Діна Рафаїлівна
Васечко Іраклій Адріанович
Жмак Опанас Валерійович
Габінет Альбіна Натанівна
Дубовиченко Михайлина Артемівна
Максимук Рафаїл Богданович
Лущай Михайло Юрійович
Кустол Юлія Антонівна
Лисун Ксенія Леонідівна
Педан Вадим Владиславович
Троянчук Модест Ясонович
Овсій Макар Артемійович
Клепка Устінья Давидівна
Синицин Інокентій Платонович
Баляс Сабіна Іларіонівна
Шупер Сергій Вілліович
Стукаленко Софія Валеріївна
Буженко Севастіан Корнилійович
Подоляко Броніслав Миронович
Головенко Ясна Олегівна
Граур Анастасія Тімурівна
Гостіщев Мірдза Євгеніївна
Грідін Леся Гуріївна
Михайлевська Капітоліна Трохимівна
Матящук Роман Владиславович
Піхур Маргарита Данилоівна
Бережняк Ірина Вітольдівна
Гречух Валерій Ростиславович
Петрашенко Берта Денисівна
Піддубняк Костянтин Робертович
Бражник Пилип Геннадійович
Чміль Аристарх Вікентійович
Маняк Родіон Натанович
Богомолов Пилип Тимофійович
Чобану Ігор Нісонович
Руденок Євдокія Левівна
Казарян Елла Мирославівна
Гапич Доміника Ісаківна
Борисовець Святослав Арнольдович
Вітько Ігнатій Велорович
Кузьмук Святослав Самсонович
Даньків Наталя Рубенівна
Дробот Матвей Велорович
Храбатин Руфіна Людвігівна
Колодій Тихон Михайлоович
Применко Мечислав Лазарович
Фісенко Алла Захарівна
Криворотенко Єгор Георгійович
Зеленко Борис Аркадійович
Кухтіна Клара Парамонівна
Онікієнко Альфред Адріанович
Жосан Антон Платонович
Шилко Клемент Робертович
Смолюк Натан Єгорович
Репін Іраклій Георгійович
Трухіна Нонна Григоріївна
Краснікова Олеся Опанасівна
Паскевич Леся Болеславівна
Кріт Макар Маркович
Кирій Степан Васильович
Юрку Руслан В'ячеславович
Рудницький Йосип Ясенович
Кириляк Євгеній Матвейович
Гурін Емма Ігнатіївна
Свинарик Анатолій Романович
Васільченко Юстина Данилоівна
Бондарев Кирило Артемійович
Гулієв Іван Богданович
Жигайло Ірина Рафаїлівна
Німець Ігор Матвейович
Машталір Марія Олександрівна
Жигайло Борис Ісакович
Беденко Юстина Ігнатіївна
Кунєва Тамара Костянтинівна
Безлюдна Олеся Дональдівна
Золотих Клемент Галактіонович
Гололобов Ніна Любомирівна
Лиманець Леонід Кузьмович
Ряшко Гурій Герасимович
Лесковець Артур Адріанович
Депутат Ясен Яромирович
Сідоренко Валерій Сергійович
Козачишин Самуїл Семенович
Крипак Рудольф Георгійович
Смик Гарі Прокофійович
Мошак Віталій Трохимович
Хильчук Вікентій Давидович
Хорунжий Корнилій Опанасович
Дудуш Костянтин Іларіонович
Костоглодов Рудольф Мстиславович
Карчевський Олександр Назарович
Коротич Лев Адамович
Запша Соломія Гаріівна
Старов Роксолана Арнольдівна
Шепотько Юстина Маївна
Батраченко Єва Валеріївна
Коденко Адріан Ростиславович
Статівка Христина Анатоліївна
Легенчук Гавриїл Васильович
Опришко Світлана Миронівна
Ромашенко Мойсей Карлович
Юхимович Ясна Зіновіївна
Хоруженко Регіна Галактіонівна
Баганець Василіса Григоріївна
Гордійчук Кузьма Костянтинович
Князев Леся Денисівна
Воронкова Вікторія Євдокимівна
Спащенко Наум Тарасович
Кушлак В'ячеслав Юлійович
Залецький Герман Вікторович
Бака Руфіна Альфредівна
Рубаник Павло Олесьович
Меренков Олександра Антонівна
Карабаджак Іларіон Андрійович
Мотренко Беатріса Анатоліївна
Купрійчук Любов Карлівна
Жиган Лук'ян Натанович
Чабанов Марк Платонович
Гузар Клемент Русланович
Качайло Людмила Миколівна
Жиленко Фаддей Вілліович
Школяренко Григорій Артемійович
Коновченко Вольдемар Яремович
Шугайло Лайма Севастіанівна
Шкарупа Христина Юліївна
Метелюк Діана Дмитроівна
Воронович Никанор Памфілович
Заставнюк Олексій Леонардович
Копильченко Назар Болеславович
Берестюк Інна Артемівна
Хавер Доля Антонівна
Розумович Ярема Олексійович
Шинкарюк Микола Валерійович
Вонсович Григорій Федотович
Потій Броніслав Вальтерович
Коміренко Гурій Трохимович
Мандрик Марта Гаріівна
Яремченко Діна Маївна
Люшняк Роксолана Адольфівна
Бензар Владислав Олександрович
Бєлова Василіса Артеміївна
Третяк Наталя Олександрівна
Ландяк Лук'ян Глібович
Костик Стела Адольфівна
Котенок Неллі Зіновіївна
Лопачук Герман Митрофанович
Лужецька Ксенія Станіславівна
Каленюк Федір Леонардович
Василенко Кузьма Віталійович
Кудін Артем Юлійович
Веремеєнко Бенедикт Рубенович
Закернична Філіппіна Юріївна
Шаган Гордей Натанович
Гоєнко Пилип Терентьєвович
Жиленко Рубен Яромирович
Губан Овідій Аристархович
Лозиченко Марія Мстиславівна
Сусленко Станіслав Тихонович
Хлань Орест Микитович
Бузоверя Володимир Ельдарович
Захаренко Генрієта Тихонівна
Бадлюк Віолета Левівна
Малюченко Лазар Мартінович
Шкіра Дарина Нісонівна
Васьків Борис Віталійович
Компан Роберт Семенович
Проданюк Йосип Мирославович
Пузик Тихон Анатолійович
Ейсмонт Маргарита Микитівна
Пирлик Прохор Карлович
Дікусар Аріадна Іларіонівна
Яцентюк Самуїл Ясенович
Головань Парасковія Родіонівна
Свіргун Глорія Іларіонівна
Дробот Іларіон Натанович
Загорняк Федір Омелянович
Гейко Платон Євдокимович
Хрищенюк Віталій Олексійович
Чигир Семен Майович
Некраса Вероніка Денисівна
Шакула Єва Прохорівна
Остроух Гавриїл Янович
Коробченко Федір Данилоович
Карпо Капітоліна Гавриїлівна
Грисюк Михайло Яромирович
Кучков Рубен Анатолійович
Перекрест Осип Вольдемарович
Слюсаренко Оскар Єгорович
Безродній Людвіг Русланович
Простак Олесь Гурійович
Меркулов Порфирій Аристархович
Мосійчук Памфіл Іларіонович
Копко Матвей Прохорович
Гераймович Макар Пилипович
Сасько Віссаріон Юлійович
Чаплигін Герман Тимофійович
Турик Лайма Мстиславівна
Свирид Поліна Аркадіївна
Мєшков Катерина Самуїлівна
Баштанник Наум Болеславович
Портной Карл Вітольдович
Зубик Трохим Памфілович
Архипенко Віллі Маркович
Здрок Нонна Макарівна
Оксьом Герман Кирилоович
Гнат Ліана Адольфівна
Кібиш Роксана Леонардівна
Дідора Інга Оскарівна
Дмитрів Ядвіга Вітольдівна
Познанська Веста Опанасівна
Кравецький Юлій Юлійович
Трегуб Тихон Адамович
Парубець Агнеса Мирославівна
Коцар Євгеній Митрофанович
Кочержук Олесь Яківович
Погорілко Роза Прохорівна
Загуменна Неллі Йосипівна
Крисько Пелагея Любомирівна
Собакар Мирослав Андрійович
Пось Тамара Левівна
Заворотна Інара Борисівна
Чайко Муза Мирославівна
Більченко Ольга Андріївна
Гащук Денис Веніамінович
Андруша Єва Вольдемарівна
Кіреєв Вадим Германович
Суслов Людмила Осипівна
Шорохова Єлизавета Модестівна
Бордюжан Самуїл Зіновійович
Удодік Василіса Рудольфівна
Сідорчук Рената Адріанівна
Гупало Григорій Гурійович
Тихоход Болеслав Леонардович
Закладний Карл Борисович
Місяйло Доля Севастіанівна
Лавринович Юрій Арсенійович
Горобченко Лада Тімурівна
Процак Пилип Тарасович
Зикова Марія Артемівна
Сіряченко Марта Феліксівна
Склярук Богдана Левівна
Мушта Вікторія Мирославівна
Стрельнікова Берта Віссаріонівна
Голощапов Христина Володимирівна
Пігуль Євдоким Митрофанович
Попюк Юстина Ілляівна
Тріщ Поліна Семенівна
Крайняк Антон Клементович
Цікало Нора Терентьєвівна
Лалак Астра Овідіївна
Борисовський Кирило Ярославович
Матіїшин Катерина Максиміліанівна
Сучкова Вероніка Корниліївна
Галиш Марфа Терентьєвівна
Сохан Діна Ростиславівна
Лактіонов Вальтер Мечиславович
Місько Самуїл В'ячеславович
Шкуренко Валерія Натанівна
Коновець Леонід Федірович
Більченко Олексій Артемович
Семикіна Астра Максимівна
Дробот Яків Прокофійович
Шапошніков Інокентій Гордейович
Макушенко Орися Самуїлівна
Шишков Євгеній Нісонович
Головацький Вольдемар Альфредович
Левик Ясон Архипович
Плачкова Надія Оскарівна
